StateID,TemporalPropertyID,Label,BinID,BinLabel,BinLow,BinHigh,Type
136,47,wt,0,Low,-inf,1813.333333,Measurement
137,47,wt,1,Medium,1813.333333,3626.666667,Measurement
138,47,wt,2,High,3626.666667,inf,Measurement
139,48,spo2,0,Low,-inf,79.66666667,Measurement
140,48,spo2,1,Medium,79.66666667,89.33333333,Measurement
141,48,spo2,2,High,89.33333333,inf,Measurement
142,49,glu,0,Low,-inf,13.3,Measurement
143,49,glu,1,Medium,13.3,23.3,Measurement
144,49,glu,2,High,23.3,inf,Measurement
145,50,hr,0,Low,-inf,45.33333333,Measurement
146,50,hr,1,Medium,45.33333333,90.66666667,Measurement
147,50,hr,2,High,90.66666667,inf,Measurement
148,51,rr,0,Low,-inf,21.66666667,Measurement
149,51,rr,1,Medium,21.66666667,43.33333333,Measurement
150,51,rr,2,High,43.33333333,inf,Measurement
151,52,temp,0,Low,-inf,13.1,Measurement
152,52,temp,1,Medium,13.1,26.2,Measurement
153,52,temp,2,High,26.2,inf,Measurement
154,53,ht,0,Low,-inf,1.468333333,Measurement
155,53,ht,1,Medium,1.468333333,1.686666667,Measurement
156,53,ht,2,High,1.686666667,inf,Measurement
157,54,mr_ro,0,Low,-inf,14.66666667,Action
158,54,mr_ro,1,Medium,14.66666667,28.33333333,Action
159,54,mr_ro,2,High,28.33333333,inf,Action
160,55,mr_so,0,Low,-inf,4,Action
161,55,mr_so,1,Medium,4,7,Action
162,55,mr_so,2,High,7,inf,Action
163,56,mr_ri,0,Low,-inf,23.33333333,Action
164,56,mr_ri,1,Medium,23.33333333,45.66666667,Action
165,56,mr_ri,2,High,45.66666667,inf,Action
166,57,mr_ui,0,Low,-inf,7.666666667,Action
167,57,mr_ui,1,Medium,7.666666667,14.33333333,Action
168,57,mr_ui,2,High,14.33333333,inf,Action
169,58,mr_si,0,Low,-inf,6.666666667,Action
170,58,mr_si,1,Medium,6.666666667,12.33333333,Action
171,58,mr_si,2,High,12.33333333,inf,Action
172,59,mu_spec,0,Low,-inf,9.333333333,Action
173,59,mu_spec,1,Medium,9.333333333,17.66666667,Action
174,59,mu_spec,2,High,17.66666667,inf,Action
175,60,mus_obs,0,Low,-inf,4,Action
176,60,mus_obs,1,Medium,4,7,Action
177,60,mus_obs,2,High,7,inf,Action
178,61,mus_int,0,Low,-inf,9.333333333,Action
179,61,mus_int,1,Medium,9.333333333,17.66666667,Action
180,61,mus_int,2,High,17.66666667,inf,Action
181,62,fld,0,Low,-inf,13,Action
182,62,fld,1,Medium,13,25,Action
183,62,fld,2,High,25,inf,Action
184,63,food,0,Low,-inf,8,Action
185,63,food,1,Medium,8,15,Action
186,63,food,2,High,15,inf,Action
187,64,nutr_watch,0,Low,-inf,18,Action
188,64,nutr_watch,1,Medium,18,35,Action
189,64,nutr_watch,2,High,35,inf,Action
190,65,fld_watch,0,Low,-inf,19.66666667,Action
191,65,fld_watch,1,Medium,19.66666667,38.33333333,Action
192,65,fld_watch,2,High,38.33333333,inf,Action
193,66,toilet,0,Low,-inf,18.66666667,Action
194,66,toilet,1,Medium,18.66666667,36.33333333,Action
195,66,toilet,2,High,36.33333333,inf,Action
196,67,emot,0,Low,-inf,13,Action
197,67,emot,1,Medium,13,25,Action
198,67,emot,2,High,25,inf,Action
199,68,pos_comm,0,Low,-inf,9,Action
200,68,pos_comm,1,Medium,9,17,Action
201,68,pos_comm,2,High,17,inf,Action
202,69,entertn,0,Low,-inf,6.333333333,Action
203,69,entertn,1,Medium,6.333333333,11.66666667,Action
204,69,entertn,2,High,11.66666667,inf,Action
205,70,smoke,0,Low,-inf,3.666666667,Action
206,70,smoke,1,Medium,3.666666667,6.333333333,Action
207,70,smoke,2,High,6.333333333,inf,Action
208,71,exerc,0,Low,-inf,7,Action
209,71,exerc,1,Medium,7,13,Action
210,71,exerc,2,High,13,inf,Action
211,72,appet,0,Low,-inf,3,Slider
212,72,appet,1,Medium,3,5,Slider
213,72,appet,2,High,5,inf,Slider
214,73,fld_amt,0,Low,-inf,383.3333333,Slider
215,73,fld_amt,1,Medium,383.3333333,766.6666667,Slider
216,73,fld_amt,2,High,766.6666667,inf,Slider
217,75,ill,0,Low,-inf,1.666666667,Slider
218,75,ill,1,Medium,1.666666667,2.333333333,Slider
219,75,ill,2,High,2.333333333,inf,Slider
220,76,mob_asst,0,Low,-inf,3.333333333,Slider
221,76,mob_asst,1,Medium,3.333333333,5.666666667,Slider
222,76,mob_asst,2,High,5.666666667,inf,Slider
223,77,diet,0,Low,-inf,1.666666667,Slider
224,77,diet,1,Medium,1.666666667,2.333333333,Slider
225,77,diet,2,High,2.333333333,inf,Slider
226,78,happ,0,Low,-inf,274.3333333,Slider
227,78,happ,1,Medium,274.3333333,547.6666667,Slider
228,78,happ,2,High,547.6666667,inf,Slider
229,101,s_fall,0,Yes,-inf,0,Action
230,101,s_fall,1,No,0,inf,Action
