TIRP_Representation,Size,Vertical_Support,Mean_Horizontal_Support,Mean_Mean_Duration,Prefix_Metrics_Cls0,Prefix_Metrics_Cls1,Score_vertical_support,Score_diff_vertical_support,Score_mean_squared_mmd,Score_mean_squared_vs,Binary_random#50,Binary_random#25,Binary_random#10,Binary_random#3,Binary_vertical_support#50,Binary_vertical_support#25,Binary_vertical_support#10,Binary_vertical_support#3,Binary_diff_vertical_support#50,Binary_diff_vertical_support#25,Binary_diff_vertical_support#10,Binary_diff_vertical_support#3,Binary_mean_squared_mmd#50,Binary_mean_squared_mmd#25,Binary_mean_squared_mmd#10,Binary_mean_squared_mmd#3,Binary_mean_squared_vs#50,Binary_mean_squared_vs#25,Binary_mean_squared_vs#10,Binary_mean_squared_vs#3,Binary_all
3-181_193_999_3_0_0,3,250,1.012,32.835,"{'1-181_': {'VS': 0.6, 'HS': np.float64(2.021), 'MMD': np.float64(31.748)}, '2-181_193_3': {'VS': 0.097, 'HS': np.float64(1.022), 'MMD': np.float64(38.689)}, '3-181_193_999_3_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-181_': {'VS': 0.985, 'HS': np.float64(1.443), 'MMD': np.float64(27.079)}, '2-181_193_3': {'VS': 0.203, 'HS': np.float64(1.012), 'MMD': np.float64(30.301)}, '3-181_193_999_3_0_0': {'VS': 0.203, 'HS': np.float64(1.012), 'MMD': np.float64(32.835)}}",250,0.106,46.079,0.245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-181_193_212_999_4_4_0_0_0_0,4,273,2.645,35.947,"{'1-181_': {'VS': 0.6, 'HS': np.float64(2.021), 'MMD': np.float64(31.748)}, '2-181_193_4': {'VS': 0.26, 'HS': np.float64(2.764), 'MMD': np.float64(40.375)}, '3-181_193_212_4_4_0': {'VS': 0.211, 'HS': np.float64(7.451), 'MMD': np.float64(43.593)}, '4-181_193_212_999_4_4_0_0_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-181_': {'VS': 0.985, 'HS': np.float64(1.443), 'MMD': np.float64(27.079)}, '2-181_193_4': {'VS': 0.395, 'HS': np.float64(1.666), 'MMD': np.float64(31.83)}, '3-181_193_212_4_4_0': {'VS': 0.248, 'HS': np.float64(2.971), 'MMD': np.float64(33.622)}, '4-181_193_212_999_4_4_0_0_0_0': {'VS': 0.221, 'HS': np.float64(2.645), 'MMD': np.float64(35.947)}}",273,0.037,64.746,0.186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-181_193_213_999_4_4_0_0_0_0,4,268,2.466,35.912,"{'1-181_': {'VS': 0.6, 'HS': np.float64(2.021), 'MMD': np.float64(31.748)}, '2-181_193_4': {'VS': 0.26, 'HS': np.float64(2.764), 'MMD': np.float64(40.375)}, '3-181_193_213_4_4_0': {'VS': 0.198, 'HS': np.float64(7.104), 'MMD': np.float64(43.952)}, '4-181_193_213_999_4_4_0_0_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-181_': {'VS': 0.985, 'HS': np.float64(1.443), 'MMD': np.float64(27.079)}, '2-181_193_4': {'VS': 0.395, 'HS': np.float64(1.666), 'MMD': np.float64(31.83)}, '3-181_193_213_4_4_0': {'VS': 0.242, 'HS': np.float64(2.789), 'MMD': np.float64(33.49)}, '4-181_193_213_999_4_4_0_0_0_0': {'VS': 0.217, 'HS': np.float64(2.466), 'MMD': np.float64(35.912)}}",268,0.044,68.09,0.188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-181_193_999_4_0_0,3,466,1.599,34.471,"{'1-181_': {'VS': 0.6, 'HS': np.float64(2.021), 'MMD': np.float64(31.748)}, '2-181_193_4': {'VS': 0.26, 'HS': np.float64(2.764), 'MMD': np.float64(40.375)}, '3-181_193_999_4_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-181_': {'VS': 0.985, 'HS': np.float64(1.443), 'MMD': np.float64(27.079)}, '2-181_193_4': {'VS': 0.395, 'HS': np.float64(1.666), 'MMD': np.float64(31.83)}, '3-181_193_999_4_0_0': {'VS': 0.378, 'HS': np.float64(1.599), 'MMD': np.float64(34.471)}}",466,0.135,47.408,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-181_193_999_6_0_0,3,268,1.011,34.001,"{'1-181_': {'VS': 0.6, 'HS': np.float64(2.021), 'MMD': np.float64(31.748)}, '2-181_193_6': {'VS': 0.091, 'HS': np.float64(1.005), 'MMD': np.float64(41.595)}, '3-181_193_999_6_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-181_': {'VS': 0.985, 'HS': np.float64(1.443), 'MMD': np.float64(27.079)}, '2-181_193_6': {'VS': 0.218, 'HS': np.float64(1.011), 'MMD': np.float64(31.62)}, '3-181_193_999_6_0_0': {'VS': 0.217, 'HS': np.float64(1.011), 'MMD': np.float64(34.001)}}",268,0.127,60.65,0.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-181_184_193_999_6_4_4_0_0_0,4,335,1.624,36.445,"{'1-181_': {'VS': 0.6, 'HS': np.float64(2.021), 'MMD': np.float64(31.748)}, '2-181_184_6': {'VS': 0.334, 'HS': np.float64(1.081), 'MMD': np.float64(42.378)}, '3-181_184_193_6_4_4': {'VS': 0.167, 'HS': np.float64(3.023), 'MMD': np.float64(46.4)}, '4-181_184_193_999_6_4_4_0_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-181_': {'VS': 0.985, 'HS': np.float64(1.443), 'MMD': np.float64(27.079)}, '2-181_184_6': {'VS': 0.652, 'HS': np.float64(1.019), 'MMD': np.float64(31.647)}, '3-181_184_193_6_4_4': {'VS': 0.283, 'HS': np.float64(1.693), 'MMD': np.float64(34.289)}, '4-181_184_193_999_6_4_4_0_0_0': {'VS': 0.271, 'HS': np.float64(1.624), 'MMD': np.float64(36.445)}}",335,0.116,94.543,0.273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-181_184_214_999_6_3_3_0_0_0,4,288,1.0,35.861,"{'1-181_': {'VS': 0.6, 'HS': np.float64(2.021), 'MMD': np.float64(31.748)}, '2-181_184_6': {'VS': 0.334, 'HS': np.float64(1.081), 'MMD': np.float64(42.378)}, '3-181_184_214_6_3_3': {'VS': 0.122, 'HS': np.float64(1.01), 'MMD': np.float64(45.307)}, '4-181_184_214_999_6_3_3_0_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-181_': {'VS': 0.985, 'HS': np.float64(1.443), 'MMD': np.float64(27.079)}, '2-181_184_6': {'VS': 0.652, 'HS': np.float64(1.019), 'MMD': np.float64(31.647)}, '3-181_184_214_6_3_3': {'VS': 0.234, 'HS': np.float64(1.0), 'MMD': np.float64(33.55)}, '4-181_184_214_999_6_3_3_0_0_0': {'VS': 0.233, 'HS': np.float64(1.0), 'MMD': np.float64(35.861)}}",288,0.112,91.727,0.272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6-181_184_214_226_212_999_6_6_6_6_6_6_4_4_4_4_0_0_0_0_0,6,248,3.665,35.923,"{'1-181_': {'VS': 0.6, 'HS': np.float64(2.021), 'MMD': np.float64(31.748)}, '2-181_184_6': {'VS': 0.334, 'HS': np.float64(1.081), 'MMD': np.float64(42.378)}, '3-181_184_214_6_6_6': {'VS': 0.157, 'HS': np.float64(1.081), 'MMD': np.float64(41.653)}, '4-181_184_214_226_6_6_6_6_6_6': {'VS': 0.107, 'HS': np.float64(1.036), 'MMD': np.float64(45.049)}, '5-181_184_214_226_212_6_6_6_6_6_6_4_4_4_4': {'VS': 0.103, 'HS': np.float64(8.172), 'MMD': np.float64(46.447)}, '6-181_184_214_226_212_999_6_6_6_6_6_6_4_4_4_4_0_0_0_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-181_': {'VS': 0.985, 'HS': np.float64(1.443), 'MMD': np.float64(27.079)}, '2-181_184_6': {'VS': 0.652, 'HS': np.float64(1.019), 'MMD': np.float64(31.647)}, '3-181_184_214_6_6_6': {'VS': 0.319, 'HS': np.float64(1.005), 'MMD': np.float64(30.442)}, '4-181_184_214_226_6_6_6_6_6_6': {'VS': 0.228, 'HS': np.float64(1.0), 'MMD': np.float64(32.014)}, '5-181_184_214_226_212_6_6_6_6_6_6_4_4_4_4': {'VS': 0.203, 'HS': np.float64(4.028), 'MMD': np.float64(33.852)}, '6-181_184_214_226_212_999_6_6_6_6_6_6_4_4_4_4_0_0_0_0_0': {'VS': 0.201, 'HS': np.float64(3.665), 'MMD': np.float64(35.923)}}",248,0.1,118.237,0.217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5-181_184_214_226_999_6_6_6_6_6_6_0_0_0_0,5,281,1.0,34.096,"{'1-181_': {'VS': 0.6, 'HS': np.float64(2.021), 'MMD': np.float64(31.748)}, '2-181_184_6': {'VS': 0.334, 'HS': np.float64(1.081), 'MMD': np.float64(42.378)}, '3-181_184_214_6_6_6': {'VS': 0.157, 'HS': np.float64(1.081), 'MMD': np.float64(41.653)}, '4-181_184_214_226_6_6_6_6_6_6': {'VS': 0.107, 'HS': np.float64(1.036), 'MMD': np.float64(45.049)}, '5-181_184_214_226_999_6_6_6_6_6_6_0_0_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-181_': {'VS': 0.985, 'HS': np.float64(1.443), 'MMD': np.float64(27.079)}, '2-181_184_6': {'VS': 0.652, 'HS': np.float64(1.019), 'MMD': np.float64(31.647)}, '3-181_184_214_6_6_6': {'VS': 0.319, 'HS': np.float64(1.005), 'MMD': np.float64(30.442)}, '4-181_184_214_226_6_6_6_6_6_6': {'VS': 0.228, 'HS': np.float64(1.0), 'MMD': np.float64(32.014)}, '5-181_184_214_226_999_6_6_6_6_6_6_0_0_0_0': {'VS': 0.228, 'HS': np.float64(1.0), 'MMD': np.float64(34.096)}}",281,0.121,108.138,0.247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5-181_184_214_202_999_6_6_6_4_4_4_0_0_0_0,5,255,1.753,35.557,"{'1-181_': {'VS': 0.6, 'HS': np.float64(2.021), 'MMD': np.float64(31.748)}, '2-181_184_6': {'VS': 0.334, 'HS': np.float64(1.081), 'MMD': np.float64(42.378)}, '3-181_184_214_6_6_6': {'VS': 0.157, 'HS': np.float64(1.081), 'MMD': np.float64(41.653)}, '4-181_184_214_202_6_6_6_4_4_4': {'VS': 0.118, 'HS': np.float64(3.46), 'MMD': np.float64(46.715)}, '5-181_184_214_202_999_6_6_6_4_4_4_0_0_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-181_': {'VS': 0.985, 'HS': np.float64(1.443), 'MMD': np.float64(27.079)}, '2-181_184_6': {'VS': 0.652, 'HS': np.float64(1.019), 'MMD': np.float64(31.647)}, '3-181_184_214_6_6_6': {'VS': 0.319, 'HS': np.float64(1.005), 'MMD': np.float64(30.442)}, '4-181_184_214_202_6_6_6_4_4_4': {'VS': 0.212, 'HS': np.float64(1.912), 'MMD': np.float64(33.261)}, '5-181_184_214_202_999_6_6_6_4_4_4_0_0_0_0': {'VS': 0.207, 'HS': np.float64(1.753), 'MMD': np.float64(35.557)}}",255,0.094,110.913,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
