StateID,TemporalPropertyID,TemporalPropertyName,BinID,BinLabel,BinLow,BinHigh
1,1,ABPm,0,Low,#NAME?,60
2,1,ABPm,1,Medium,60,90
3,1,ABPm,2,High,90,inf
4,2,CVD,0,Low,#NAME?,5
5,2,CVD,1,Medium,5,17
6,2,CVD,2,High,17,inf
7,3,FiO2,0,Low,#NAME?,41
8,3,FiO2,1,Medium,41,60
9,3,FiO2,2,High,60,inf
10,4,Hf,0,Low,#NAME?,60
11,4,Hf,1,Medium,60,110
12,4,Hf,2,High,110,inf
13,5,Mpeep,0,Low,#NAME?,10
14,5,Mpeep,1,High,10,inf
15,6,Temp,0,Low,#NAME?,35
16,6,Temp,1,Medium,35,38.5
17,6,Temp,2,High,38.5,inf
18,7,BE,0,Low,#NAME?,-6
19,7,BE,1,Medium,-6,-3
20,7,BE,2,High,-3,inf
21,8,CI,0,Low,#NAME?,2.5
22,8,CI,1,High,2.5,inf
23,9,Glucose,0,Low,#NAME?,2.5
24,9,Glucose,1,Medium,2.5,10
25,9,Glucose,2,High,10,inf
26,10,CKMB,0,Low,#NAME?,25
27,10,CKMB,1,Medium,25,50
28,10,CKMB,2,High,50,inf
